family_key	headword	members
run	run	run | running | ran | runs
service	service	service | services
country	country	country | countries
open	open	open | opening | opened | opens | openly | opener
season	season	season | seasons | seasonal
shit	shit	shit
thank	thank	thank | thanks | thankful | thankfully
children	children	children
everyone	everyone	everyone
gen	general	general | generally | gen | generous | generals
they're	they're	they're
unit	united	united | unit | units
using	using	using
area	area	area | areas
black	black	black | blacks
d	d	d
follow	following	following | follow | followed | follows | followers
law	law	law | laws
togeth	together	together
war	war	war | wars
whole	whole	whole
car	car	car | cars | caring | cared
face	face	face | faces
five	five	five
kind	kind	kind | kinds | kindly | kindness
maybe	maybe	maybe
per	per	per
president	president	president | presidents
story	story	story | stories
course	course	course | courses
health	health	health
hope	hope	hope | hopefully | hopes | hopeful | hopeless
important	important	important | importantly
least	least	least
within	within	within
able	able	able
book	book	book | books | booked | booking
ear	early	early | ear | ears
friend	friends	friends | friend | friendly | friendship | friendships
i'll	i'll	i'll
informa	information	information
loc	local	local | locally | locals | locality
oh	oh	oh
post	post	post | posted | posts | posting | poster | posters | postal
t	t	t
video	video	video | videos
young	young	young | younger
ago	ago	ago
soci	social	social | socialist | socially | socialism
talk	talk	talk | talking | talked | talks
court	court	court | courts
fact	fact	fact | facts | factor | factors
guy	guys	guys | guy
half	half	half
hand	hand	hand | hands | handed | handful | handing
isn't	isn't	isn't
level	level	level | levels
mind	mind	mind | minds | minded
often	often	often
single	single	single | singles
become	become	become | becomes
body	body	body | bodies | bodily
com	coming	coming | comment | comments | com | commented | commenting
control	control	control | controlled | controls | controlling
death	death	death | deaths
food	food	food | foods
hour	hours	hours | hour | hourly
office	office	office | offices
pay	pay	pay | paying | payment | payments | pays
problem	problem	problem | problems
south	south	south
true	true	true
we're	we're	we're
almost	almost	almost
fuck	fuck	fuck | fucking | fucked | fucks | fucker
history	history	history | histories
large	large	large | largely
lost	lost	lost
m	m	m
research	research	research | researchers | researcher
room	room	room | rooms
sev	several	several | severity
tak	taking	taking
univ	university	university | universal | universities
win	win	win | winning | wins
wrong	wrong	wrong
along	along	along
anyone	anyone	anyone
else	else	else
girl	girl	girl | girls
john	john	john | johns
matt	matter	matter | matters | matt
pretty	pretty	pretty
rememb	remember	remember | remembered | remembering | remembers
air	air	air | aired
bit	bit	bit | bits | biting
hit	hit	hit | hits | hitting
nice	nice	nice | nicely
probab	probably	probably
understand	understand	understand | understanding | understands | understandable
yeah	yeah	yeah
york	york	york
class	class	class | classes
close	close	close | closely | closes
i'd	i'd	i'd
idea	idea	idea | ideas
intern	international	international | internal | internationally | internally | intern
past	past	past | pastor
poss	possible	possible | possibility | possibilities
b	b	b
cause	cause	cause | causes
due	due	due
happy	happy	happy | happiness | happily
human	human	human | humans | humanity
memb	members	members | member | membership
month	months	months | month | monthly
move	move	move | movement | moves | movements
ques	question	question | questions | questioning | questioned | questionable
r	r	r
sery	series	series
wait	wait	wait | waiting | waited | waits
woman	woman	woman
ask	ask	ask | asked | asking | asks
commun	community	community | communities | communist | communism | communists | communal
data	data	data
late	late	late | lately
north	north	north
speci	special	special | specialist | specially | specialists
watch	watch	watch | watching | watched
won't	won't	won't
c	c	c
eith	either	either
future	future	future | futures
light	light	light | lights | lighting | lighter | lightly
low	low	low | lower | lowered | lowering
million	million	million | millions
morn	morning	morning
police	police	police
short	short	short | shortly | shorter | shorts
stay	stay	stay | staying | stayed | stays
age	age	age | ages
buy	buy	buy | bought | buying | buyers | buyer | buys
deal	deal	deal | dealing | deals | dealer | dealers
rath	rather	rather
reason	reason	reason | reasons | reasonable | reasoning
red	red	red | reds
report	report	report | reported | reports | reporting | reporter | reporters
soon	soon	soon | sooner
third	third	third | thirds
turn	turn	turn | turned | turns | turning | turner
wheth	whether	whether
among	among	among
check	check	check | checked | checking | checks
develop	development	development | developed | develop | developing | developers | developments | developer | develops | developmental
form	form	form | former | forms | formed | formal | formerly | forming | formally
furth	further	further
heart	heart	heart | hearts | hearted
minute	minutes	minutes | minute
myself	myself	myself
yourself	yourself	yourself
act	act	act | acting | actor | acts | actors | acted
although	although	although
child	child	child | childhood
fire	fire	fire | fires
fun	fun	fun | funeral
liv	living	living | lived | liver
maj	major	major | majority | majors
media	media	media
phone	phone	phone | phones
art	art	art | artist | arts | artists
behind	behind	behind
build	building	building | build | builds | builder | builders
easy	easy	easy | easily
gonna	gonna	gonna
market	market	market | marketing | markets
near	near	near | nearly
non	non	non
plan	plan	plan | plans | planning | planned
politic	political	political | politics | politically
quite	quite	quite
six	six	six
west	west	west
accord	according	according | accord
avail	available	available | availability
e	e	e
educa	education	education
fin	final	final | finally | finals | fin | fined
front	front	front
kid	kids	kids | kid | kidding
list	list	list | listed | lists | listing
ready	ready	ready | readily
sometime	sometimes	sometimes | sometime
son	son	son | sons
street	street	street | streets
wasn't	wasn't	wasn't
bring	bring	bring | brought | bringing | brings
college	college	college | colleges
current	current	current | currently
example	example	example | examples
experience	experience	experience | experiences
heard	heard	heard
london	london	london
meet	meet	meet | meeting | meets
program	program	program | programs | programming | programmed
type	type	type | types
baby	baby	baby | babies
chance	chance	chance | chances
fath	father	father | fathers
march	march	march | marching | marched
process	process	process | processes | processor
she'	she's	she's
song	song	song | songs
study	study	study | studies | studied | studying
word	word	word | words
across	across	across
action	action	action | actions
clear	clear	clear | clearly | cleared | clearing | clearer
himself	himself	himself
outside	outside	outside
self	self	self
student	students	students | student
board	board	board | boards | boarding
cost	cost	cost | costs | costly | costing
cut	cut	cut | cutting | cuts
dr	dr	dr
field	field	field | fields
held	held	held
instead	instead	instead
main	main	main | mainly
moment	moment	moment | moments
moth	mother	mother | mothers
road	road	road | roads
seem	seems	seems | seem | seemed
town	town	town | towns | township
de	de	de
depart	department	department | departments | departed | depart
energy	energy	energy
fight	fight	fight | fighting | fighter | fighters | fights
fine	fine	fine | fines
force	force	force | forces
hear	hear	hear | hearing | hears
issue	issue	issue | issues
price	price	price | prices
re	re	re
rest	rest	rest | restored | resting | restoring
result	results	results | result | resulting | resulted
space	space	space | spaces
summ	summer	summer | summers
term	term	term | terms
wife	wife	wife
america	america	america | americas
beauti	beautiful	beautiful | beautifully
date	date	date | dates
kil	killed	killed | killing
land	land	land | landing | lands | landed
miss	miss	miss | misses
project	project	project | projects | projected
sex	sex	sex
shot	shot	shot | shots
site	site	site | sites
strong	strong	strong | stronger | strongly
you'll	you'll	you'll
account	account	account | accounts | accounting | accountability | accountable | accounted
co	co	co
especi	especially	especially
eye	eyes	eyes | eye
include	include	include | includes
june	june	june
parent	parents	parents | parent | parenting | parental
period	period	period | periods
posi	position	position | positions | positioned | positioning
record	record	record | records | recorded | recording | recorder
similar	similar	similar | similarly | similarities
tot	total	total | totally
w	w	w
above	above	above
club	club	club | clubs
common	common	common | commonly | commons
died	died	died
film	film	film | films | filming | filmed
happen	happened	happened | happen | happens | happening
lead	lead	lead | leading | leader | leaders | leadership | leads
military	military	military
perfect	perfect	perfect | perfectly
secur	security	security | securities | secured | securing
share	share	share | shares
st	st	st
tv	tv	tv
what'	what's	what's
won	won	won
x	x	x
april	april	april
cent	center	center | cent | centers | cents | centered
county	county	county | counties
couple	couple	couple | couples
dead	dead	dead | deadly
english	english	english
hold	hold	hold | holding | holds | holder | holders
industry	industry	industry | industries
inside	inside	inside
online	online	online
private	private	private | privately
return	return	return | returned | returns | returning
sense	sense	sense | senses
star	star	star | stars | staring | starring | starred
test	test	test | testing | tests | tested
view	view	view | views | viewed | viewers | viewing | viewer
break	break	break | breaking | breaks
british	british	british
event	event	event | events
l	l	l
middle	middle	middle
present	present	present | presented | presents | presenting | presenter | presently
sorry	sorry	sorry
train	training	training | train | trained | trains | trainer | trainers
wish	wish	wish | wished | wishing
wouldn't	wouldn't	wouldn't
answ	answer	answer | answers | answered | answering
boy	boy	boy | boys
design	design	design | designed | designer | designs | designers | designing
gold	gold	gold
guess	guess	guess
interest	interest	interest | interesting | interested | interests
july	july	july
king	king	king | kings
learn	learn	learn | learning | learned | learns
policy	policy	policy | policies
society	society	society | societies
ad	added	added | ad | adding
al	al	al
alone	alone	alone
average	average	average
bank	bank	bank | banks | banking | banker | bankers
certain	certain	certain | certainly
church	church	church
east	east	east | easter
hot	hot	hot
let'	let's	let's
medic	medical	medical
movie	movie	movie
origin	original	original | originally | origin | origins
park	park	park | parking | parks | parker | parked
performance	performance	performance | performances
press	press	press
receiv	received	received | receiving | receiver | receivers
role	role	role | roles
sent	sent	sent
themselve	themselves	themselves
worth	worth	worth | worthless
became	became	became
bill	bill	bill | bills
cool	cool	cool | cooling | cooler
direct	director	director | direct | directly | directed | directors | directing
exact	exactly	exactly | exact
giv	giving	giving
ground	ground	ground | grounds | grounded
n	n	n
provide	provide	provide | provides
rela	relationship	relationship | relationships | relations | relation
septemb	september	september
sound	sound	sound | sounds | sounded | sounding
source	source	source | sources
usu	usually	usually | usual
value	value	value | values
evidence	evidence	evidence
offici	official	official | officials | officially
ok	ok	ok
produc	production	production | produced | producing | producer | producers | productions
rate	rate	rate | rates
round	round	round | rounds | rounded
save	save	save | saves
stand	stand	stand | standing | stands | stood
stuff	stuff	stuff
tax	tax	tax
whatev	whatever	whatever
amount	amount	amount | amounts
blue	blue	blue | blues
david	david	david
drive	drive	drive | drives
eat	eat	eat | eating | ate | eaten | eats
fall	fall	fall | falls
fast	fast	fast | faster
fed	federal	federal | fed
green	green	green | greens
league	league	league | leagues
manage	management	management | manage | manages
match	match	match | matching | matched
model	model	model | models | modeling | modelling
p	p	p
picture	picture	picture | pictures
size	size	size | sizes
step	step	step | steps | stepped | stepping
trust	trust	trust | trusted | trusts | trusting
you've	you've	you've
centr	central	central
england	england	england
forward	forward	forward | forwards
hey	hey	hey
key	key	key | keys
mom	mom	mom | moms
o	o	o
page	page	page | pages
paid	paid	paid
range	range	range | ranges
review	review	review | reviews | reviewed | reviewing
science	science	science | sciences
trade	trade	trade | trades
uk	uk	uk
upon	upon	upon
vari	various	various | variable | variables
atten	attention	attention
broth	brother	brother | brothers | brotherhood
cannot	cannot	cannot
charact	character	character | characters
chief	chief	chief | chiefs
cup	cup	cup | cups
football	football	football | footballer
hate	hate	hate | hates
haven't	haven't	haven't
jame	james	james
led	led	led
natur	natural	natural | naturally
octob	october	october
property	property	property | properties
qual	quality	quality | qualities
send	send	send | sending | sends
style	style	style | styles
u	u	u
vote	vote	vote | votes
amaz	amazing	amazing | amazed
august	august	august
blood	blood	blood
china	china	china
complete	complete	complete | completely
dog	dog	dog | dogs
economic	economic	economic | economics | economically
hell	hell	hell
involv	involved	involved | involving
itself	itself	itself
language	language	language | languages
lord	lord	lord | lords
novemb	november	november
oil	oil	oil | oils
relat	related	related | relating
seri	serious	serious | seriously | serial
stage	stage	stage | stages
title	title	title | titles
add	add	add | adds
article	article	article | articles
attack	attack	attack | attacks | attacked | attacking
born	born	born
couldn't	couldn't	couldn't
damn	damn	damn | damned
decid	decided	decided | deciding
deci	decision	decision | decisions
enjoy	enjoy	enjoy | enjoyed | enjoying | enjoys | enjoyable | enjoyment
entire	entire	entire | entirely
french	french	french
january	january	january
kill	kill	kill | killer | kills | killers
met	met	met | metal | meters | meter | metals | mets
perhap	perhaps	perhaps
poor	poor	poor | poorly
release	release	release | releases
situa	situation	situation | situations
technology	technology	technology | technologies
website	website	website | websites
write	written	written | wrote | write | writes
choice	choice	choice | choices
code	code	code | codes
consid	considered	considered | consider | considering | considerable | considers
continue	continue	continue | continues
council	council	council | councils
cov	cover	cover | covered | covers | covering
door	door	door | doors
elec	election	election | elections
european	european	european | europeans
f	f	f
financi	financial	financial | financially
foreign	foreign	foreign | foreigners
hair	hair	hair | hairs | haired
increase	increase	increase | increases
leg	legal	legal | legs | leg | legally
lose	lose	lose | loses
michael	michael	michael
pick	pick	pick | picked | picking | picks
race	race	race | races
seven	seven	seven
sign	sign	sign | signed | signs | signal | signing | signals
simple	simple	simple
simp	simply	simply
staff	staff	staff
sup	super	super
union	union	union | unions
walk	walk	walk | walking | walked | walker | walks
washington	washington	washington
bed	bed	bed | beds
began	began	began
built	built	built
chang	changed	changed | changing | chang
crazy	crazy	crazy
daught	daughter	daughter | daughters
decemb	december	december
die	die	die
difficult	difficult	difficult
figure	figure	figure | figures
hospit	hospital	hospital | hospitals | hospitality
loss	loss	loss | losses
modern	modern	modern
pap	paper	paper | papers
popular	popular	popular | popularity
publish	published	published | publishing | publisher | publish | publishers
safe	safe	safe | safely
ver	version	version | versions
voice	voice	voice | voices
whose	whose	whose
writ	writing	writing | writer | writers
army	army	army | armies
australia	australia	australia
earth	earth	earth
forget	forget	forget | forgetting
goal	goal	goal | goals
h	h	h
huge	huge	huge
internet	internet	internet
listen	listen	listen | listening | listened | listeners
okay	okay	okay
practice	practice	practice | practices
rule	rules	rules | rule
sea	sea	sea | seas
sir	sir	sir
success	success	success | successful | successfully | successor | successes
toward	towards	towards | toward
v	v	v
access	access	access | accessible
aren't	aren't	aren't
base	base	base | basement | bases
below	below	below
creat	created	created | creating | creator | creators
deep	deep	deep | deeply | deeper
la	la	la
lol	lol	lol
mark	mark	mark | marked | marks | marking | marker | markers
mis	missing	missing | mission | missed | missions | miserable
pass	pass	pass | passes
profes	professional	professional | professionals | profession | professionally
releas	released	released | releasing
risk	risk	risk | risks
sleep	sleep	sleep | sleeping | slept | sleeps
table	table	table | tables
ten	ten	ten | tension | tens | tensions
truth	truth	truth | truths
ball	ball	ball | balls
box	box	box | boxing | boxer
card	card	card | cards
dark	dark	dark | darkness | darker
district	district	district | districts
europe	europe	europe
george	george	george
india	india	india
mine	mine	mine | mines
min	minister	minister | minor | mining | min | minority | ministers | mineral | minorities | minerals | miners | mins | minors
note	note	note | notes
percent	percent	percent
piece	piece	piece | pieces
product	products	products | product
recent	recent	recent | recently
se	seeing	seeing | se
straight	straight	straight
visit	visit	visit | visited | visitors | visiting | visits | visitor
wall	wall	wall | walls
wanna	wanna	wanna
we've	we've	we've
allow	allowed	allowed | allow | allows | allowing
culture	culture	culture | cultures
etc	etc	etc
fan	fans	fans | fan
february	february	february
growth	growth	growth
marry	married	married | marry | marrying
offic	officer	officer | officers
pain	pain	pain | painful | pains
paul	paul	paul
respect	respect	respect | respected | respects | respectable | respectful
response	response	response | responses
riv	river	river | rivers | rival | rivals
rock	rock	rock | rocks | rocking
shall	shall	shall
speak	speak	speak | speaking | speaker | speaks | speakers
specific	specific	specific | specifically
standard	standard	standard | standards
tonight	tonight	tonight
y	y	y
album	album	album | albums
century	century	century | centuries
charge	charge	charge | charges
cold	cold	cold
create	create	create | creates
effect	effect	effect | effects | effectiveness
eight	eight	eight
except	except	except
funny	funny	funny
ii	ii	ii
limit	limited	limited | limit | limits | limiting
mov	moving	moving | moved
network	network	network | networks | networking
peace	peace	peace | peaceful
provid	provided	provided | providing | providers | provider
requir	required	required | requiring
sale	sales	sales | sale
spent	spent	spent
store	store	store | stores
tomorrow	tomorrow	tomorrow
track	track	track | tracks | tracking | tracked
via	via	via
weight	weight	weight | weights | weighted
addi	addition	addition | additional | additionally | additions
ahead	ahead	ahead
anti	anti	anti
associa	association	association | associations
beat	beat	beat | beating | beats
brown	brown	brown | browns
capit	capital	capital | capitalism | capitalist
chinese	chinese	chinese
committee	committee	committee | committees
conference	conference	conference | conferences
difference	difference	difference | differences
double	double	double | doubles
expect	expect	expect | expected | expecting | expects
gas	gas	gas
island	island	island | islands
norm	normal	normal | normally | norm | norms
popula	population	population | populations
potenti	potential	potential | potentially
pressure	pressure	pressure | pressures
radio	radio	radio
russian	russian	russian | russians
sta	station	station | stations | stationed
text	text	text | texts | texting
treat	treatment	treatment | treat | treated | treating | treatments | treats
western	western	western
ass	ass	ass | assist | assisted | assists | asses | assisting
begin	beginning	beginning | begin | begins
california	california	california
campaign	campaign	campaign | campaigns
content	content	content | contents
credit	credit	credit | credits | credited | creditors
cross	cross	cross | crosses
describ	described	described | describing
despite	despite	despite
female	female	female | females
focus	focus	focus | focused | focusing
g	g	g
hi	hi	hi
husband	husband	husband | husbands
ice	ice	ice
individu	individual	individual | individuals | individually
j	j	j
join	join	join | joined | joining | joins
lov	loved	loved | loving | lover | lovers
message	message	message | messages
mile	miles	miles | mile
particular	particular	particular | particularly
previ	previous	previous | previously
quick	quickly	quickly | quick | quicker
region	region	region | regional | regions
sec	section	section | sections | sec
sort	sort	sort | sorts | sorted
spe	speed	speed
travel	travel	travel | traveling | travelling | traveled | travels | travelled | travelers
contact	contact	contact | contacts | contacted
drop	drop	drop | dropped | dropping | drops
fair	fair	fair | fairly | fairness
feet	feet	feet
jesus	jesus	jesus
link	link	link | links | linked | linking
positive	positive	positive | positively
throughout	throughout	throughout
tour	tour	tour | tourism | tourist | tours | tourists | touring
welcome	welcome	welcome
absolute	absolutely	absolutely | absolute
beyond	beyond	beyond
condi	conditions	conditions | condition | conditioning
earli	earlier	earlier
extra	extra	extra
immediate	immediately	immediately | immediate
leav	leaving	leaving
nature	nature	nature
sell	sell	sell | sells | seller | sellers
significant	significant	significant | significantly
unless	unless	unless
agree	agree	agree | agreement | agreements | agrees
canada	canada	canada
clean	clean	clean | cleaning | cleaned | cleaner
comput	computer	computer | computers | computing
construc	construction	construction
episode	episode	episode | episodes
favorite	favorite	favorite | favorites
income	income	income | incomes
justice	justice	justice | justices
manag	manager	manager | managed | managers | managing
photo	photo	photo | photos
safety	safety	safety
san	san	san
scene	scene	scene | scenes
sold	sold	sold
spend	spend	spend | spending | spends
sun	sun	sun
abil	ability	ability | abilities
announc	announced	announced | announcing
coach	coach	coach | coaching
collec	collection	collection | collections
continu	continued	continued | continuing | continuous | continuously | continually | continuity
definite	definitely	definitely | definite
friday	friday	friday
gun	gun	gun | guns
heavy	heavy	heavy | heavily
knowledge	knowledge	knowledge
search	search	search | searching | searched
subject	subject	subject | subjects | subjected
wide	wide	wide | widely
wow	wow	wow
auth	author	author | authority | authorities | authors | authorization
centre	centre	centre | centres
claim	claim	claim | claims | claimed | claiming
dad	dad	dad
fear	fear	fear | fears | feared
fit	fit	fit | fitness | fits | fitted | fitting
german	german	german | germans
glob	global	global | globally
gotta	gotta	gotta
hotel	hotel	hotel | hotels
judge	judge	judge | judges | judgement
lady	lady	lady | ladies
lett	letter	letter | letters
materi	material	material | materials
nam	named	named | naming | nam
nobody	nobody	nobody
opportun	opportunity	opportunity | opportunities
plus	plus	plus
pre	pre	pre
regular	regular	regular | regularly
secretary	secretary	secretary
sist	sister	sister | sisters
annu	annual	annual | annually
anymore	anymore	anymore
bar	bar	bar | bars | barred
battle	battle	battle | battles
brain	brain	brain | brains
contract	contract	contract | contracts | contractor | contractors | contracted
degree	degree	degree | degrees
feature	features	features | feature
finish	finished	finished | finish | finishing
flo	floor	floor | floors
france	france	france | frances
grow	growing	growing | grow | grows
hurt	hurt	hurt | hurts | hurting
image	image	image | images
insurance	insurance	insurance
meant	meant	meant
opinion	opinion	opinion | opinions
physic	physical	physical | physics | physically
pro	pro	pro | pros
reach	reach	reach | reached | reaching
sport	sports	sports | sport | sporting
stupid	stupid	stupid
active	active	active | actively
administra	administration	administration
approach	approach	approach | approaching | approached
australian	australian	australian
biggest	biggest	biggest
canc	cancer	cancer
civil	civil	civil | civilization
dance	dance	dance | dances
defense	defense	defense | defenses
direc	direction	direction | directions
independent	independent	independent | independently
mast	master	master | masters
none	none	none
russia	russia	russia
ship	ship	ship | ships | shipping | shipped | shipment
stock	stock	stock | stocks
trump	trump	trump
weekend	weekend	weekend | weekends
wond	wonder	wonder | wonderful | wondering | wondered | wonders
worst	worst	worst
africa	africa	africa
awesome	awesome	awesome
band	band	band | bands
beach	beach	beach
cash	cash	cash
commerci	commercial	commercial | commercials | commercially
compar	compared	compared | comparing | comparable
effort	effort	effort | efforts
imagine	imagine	imagine
impact	impact	impact | impacts | impacted
lack	lack	lack | lacking | lacks | lacked
latest	latest	latest
multiple	multiple	multiple
opera	operation	operation | operations | opera
organ	organization	organization | organizations | organisation | organisations | organ | organs | organize | organisms
pas	passed	passed | passing | passion
protect	protect	protect | protected | protecting | protects | protector
secret	secret	secret | secrets | secretly
seni	senior	senior | seniors
spr	spring	spring
sunday	sunday	sunday | sundays
tel	telling	telling | tel
wear	wear	wear | wearing | wears
activ	activities	activities | activity | activist | activists | activism
address	address	address | addresses
analysis	analysis	analysis
anyway	anyway	anyway | anyways
choose	choose	choose | chooses
christma	christmas	christmas
col	color	color | colors | colored | col | colorful
commis	commission	commission | commissioner | commissioned | commissions | commissioners
competi	competition	competition | competitions
detail	details	details | detail | detailed
dream	dream	dream | dreams | dreaming | dreamed
grand	grand	grand
here'	here's	here's
increas	increased	increased | increasing
indian	indian	indian | indians
k	k	k
lit	literally	literally | lit | literal
luck	luck	luck
marriage	marriage	marriage | marriages
necessary	necessary	necessary | necessarily
patient	patients	patients | patient
resource	resources	resources | resource
rich	rich	rich | richer
skin	skin	skin | skins
suppos	supposed	supposed
sweet	sweet	sweet
thus	thus	thus
touch	touch	touch | touched | touching
yesterday	yesterday	yesterday
caught	caught	caught
clos	closed	closed | closer | closing
congress	congress	congress
damage	damage	damage | damages
disease	disease	disease | diseases
doct	doctor	doctor | doctors
doubt	doubt	doubt | doubts
drink	drink	drink | drinking | drunk | drinks | drank
driv	driving	driving | driver | drivers
establish	established	established | establish | establishment | establishing | establishments
facebook	facebook	facebook
fish	fish	fish | fishing | fisher
gay	gay	gay | gays
germany	germany	germany
glad	glad	glad | gladly
largest	largest	largest
machine	machine	machine | machines
notice	notice	notice | notices | noticeable
overall	overall	overall
profess	professor	professor | professors
shown	shown	shown
sit	sit	sit | sitting | sat | sits
trip	trip	trip | trips
associat	associated	associated
basic	basic	basic | basically | basics
captain	captain	captain
carry	carry	carry | carried | carrying | carries
crime	crime	crime | crimes
effective	effective	effective | effectively
explain	explain	explain | explained | explains | explaining
ful	fully	fully
japan	japan	japan
male	male	male | males
mrs	mrs	mrs
plant	plant	plant | plants | planted | planting
smith	smith	smith
spot	spot	spot | spots | spotted
texa	texas	texas
we'll	we'll	we'll
wint	winter	winter
worse	worse	worse
advice	advice	advice
ain't	ain't	ain't
award	award	award | awards | awarded
block	block	block | blocks | blocked | blocking
broken	broken	broken
caus	caused	caused | causing
challenge	challenge	challenge | challenges
christian	christian	christian | christians | christianity
equip	equipment	equipment | equipped
eventu	eventually	eventually | eventual
holy	holy	holy
