family_key	headword	members
perfeito	perfeito	perfeito | perfeitos
porra	porra	porra
prática	prática	prática | práticas
realizado	realizado	realizado | realizados
sangue	sangue	sangue
sede	sede	sede
seguida	seguida	seguida | seguidas
som	som	som
administração	administração	administração
azul	azul	azul
carreira	carreira	carreira | carreiras
cena	cena	cena | cenas
chão	chão	chão
completamente	completamente	completamente
cuidado	cuidado	cuidado | cuidados
el	el	el
escrito	escrito	escrito | escritos
esteve	esteve	esteve
função	função	função
l	l	l
participar	participar	participar
precisam	precisam	precisam
pressão	pressão	pressão
procura	procura	procura
publicado	publicado	publicado | publicados
t	t	t
torna	torna	torna
totalmente	totalmente	totalmente
ana	ana	ana
andar	andar	andar
contato	contato	contato | contatos
crescimento	crescimento	crescimento
crise	crise	crise | crises
céu	céu	céu
david	david	david
direita	direita	direita
entretanto	entretanto	entretanto
espanha	espanha	espanha
evitar	evitar	evitar
guarda	guarda	guarda | guardas
histórico	histórico	histórico | históricos
indústria	indústria	indústria | indústrias
nao	nao	nao
pro	pro	pro
produto	produtos	produtos | produto
professore	professores	professores
proteção	proteção	proteção
saiba	saiba	saiba
segue	segue	segue
sin	sinal	sinal | sin
sozinho	sozinho	sozinho | sozinhos
traz	traz	traz | trazer
unidade	unidade	unidade | unidades
vila	vila	vila | vilas
áfrica	áfrica	áfrica
aula	aula	aula | aulas
conversar	conversar	conversar
deputado	deputado	deputado | deputados
desejo	desejo	desejo | desejos
diante	diante	diante
espírito	espírito	espírito | espíritos
estrada	estrada	estrada | estradas
festiv	festival	festival
geração	geração	geração
governad	governador	governador
imprensa	imprensa	imprensa
marido	marido	marido
olá	olá	olá
rosto	rosto	rosto | rostos
ruim	ruim	ruim
saída	saída	saída | saídas
tiveram	tiveram	tiveram
triste	triste	triste | tristes
acreditar	acreditar	acreditar
alma	alma	alma | almas
artista	artistas	artistas | artista
bon	bons	bons
caixa	caixa	caixa | caixas
erro	erro	erro | erros
esperança	esperança	esperança | esperanças
estadu	estadual	estadual
garota	garota	garota | garotas
igu	igual	igual
lançamento	lançamento	lançamento | lançamentos
lindo	lindo	lindo | lindos
militare	militares	militares
one	one	one
pensei	pensei	pensei
praça	praça	praça | praças
propriedade	propriedade	propriedade | propriedades
pré	pré	pré
rainha	rainha	rainha
rock	rock	rock
terceiro	terceiro	terceiro | terceiros
território	território	território | territórios
tiv	tiver	tiver
acontecendo	acontecendo	acontecendo
antigo	antigo	antigo | antigos
basta	basta	basta
bola	bola	bola | bolas
cas	casal	casal
congresso	congresso	congresso
estiv	estiver	estiver
estranho	estranho	estranho | estranhos
gen	general	general
hotel	hotel	hotel
impossível	impossível	impossível
infelizmente	infelizmente	infelizmente
inteiro	inteiro	inteiro | inteiros
leve	leve	leve | leves
lixo	lixo	lixo
longa	longa	longa | longas
matéria	matéria	matéria | matérias
memória	memória	memória | memórias
metro	metros	metros | metro
pediu	pediu	pediu
penso	penso	penso
post	post	post | posts | postal
preto	preto	preto | pretos
regra	regras	regras | regra
relatório	relatório	relatório | relatórios
responsabilidade	responsabilidade	responsabilidade | responsabilidades
telefone	telefone	telefone | telefones
tenham	tenham	tenham
tom	tom	tom
troca	troca	troca | trocas
verdadeiro	verdadeiro	verdadeiro | verdadeiros
ônibus	ônibus	ônibus
abertura	abertura	abertura
anál	análise	análise | análises
argentina	argentina	argentina
breve	breve	breve
chance	chance	chance | chances
ciência	ciência	ciência | ciências
comentário	comentários	comentários | comentário
considerado	considerado	considerado | considerados
contudo	contudo	contudo
cá	cá	cá
destino	destino	destino | destinos
disponível	disponível	disponível
doença	doença	doença | doenças
efeito	efeito	efeito | efeitos
glob	global	global
independente	independente	independente | independentes
investigação	investigação	investigação
iria	iria	iria
jogad	jogador	jogador
lisboa	lisboa	lisboa
loja	loja	loja | lojas
planeta	planeta	planeta | planetas
precisamo	precisamos	precisamos
pronto	pronto	pronto | prontos
questõe	questões	questões
tamanho	tamanho	tamanho
tratamento	tratamento	tratamento
vice	vice	vice
york	york	york
aberto	aberto	aberto | abertos
acidente	acidente	acidente | acidentes
agência	agência	agência | agências
aparece	aparece	aparece
candidato	candidato	candidato | candidatos
conhecida	conhecida	conhecida | conhecidas
conheço	conheço	conheço
